n,p,reinicio,fuente_elegida,convergencia_scipy,iteraciones,evaluaciones,esperanza,razon_esperada,probabilidad_optimo,bitstring_mas_probable,costo_bitstring_mas_probable,probabilidad_mas_alta,norma,gamma_escalado_1,gamma_fisico_1,beta_1,gamma_escalado_2,gamma_fisico_2,beta_2,gamma_escalado_3,gamma_fisico_3,beta_3
10,2,3,optimizado,True,32,215,73.42394926211954,0.8432260572185318,0.027111375897262452,1100101010,87.07504782611689,0.013555687948631226,0.9999999999999991,3.2481157228418183,0.037302485658783045,0.491972120225349,6.283185307179586,0.07215827569329401,0.20903526682660345,,,
10,2,4,optimizado,True,27,175,73.4239492621188,0.8432260572185234,0.0271113747594592,1100101010,87.07504782611689,0.0135556873797296,0.9999999999999998,3.248115514107497,0.037302483261605825,0.4919720255547834,6.283185307179586,0.07215827569329401,0.2090352439271213,,,
10,2,5,optimizado,True,35,265,73.42394926211966,0.8432260572185334,0.02711137555304355,1100101010,87.07504782611689,0.013555687776521774,1.0000000000000013,3.2481160142481467,0.03730248900539423,2.062768376682386,6.283185307179586,0.07215827569329401,1.7798315523563017,,,
10,2,6,optimizado,True,22,165,73.42394926211897,0.8432260572185254,0.027111375157754955,1100101010,87.07504782611689,0.013555687578877477,0.9999999999999993,3.248115121948031,0.03730247875791073,0.4919721142039794,6.283185307179586,0.07215827569329401,0.2090352970849498,,,
10,2,7,optimizado,True,12,70,69.11824886981323,0.7937779030146848,0.01645128076436579,1100101010,87.07504782611689,0.008225640382182896,1.0000000000000009,1.7553124217884695,0.02015861564906345,3.141592653589793,2.537634219325197,0.029143070059953393,0.3926990537526529,,,
10,2,8,optimizado,True,30,185,73.42394926211949,0.8432260572185314,0.027111375840294775,1100101010,87.07504782611689,0.013555687920147387,1.0000000000000018,3.2481156207371615,0.03730248448617782,0.49197214528444794,6.283185307179586,0.07215827569329401,0.20903527660848067,,,
10,2,9,optimizado,True,31,235,73.42394926211921,0.8432260572185282,0.02711137711768903,1100101010,87.07504782611689,0.013555688558844516,1.0,3.248115590468697,0.03730248413856429,0.49197214885383833,6.283185307179586,0.07215827569329401,1.7798316402998298,,,
10,2,10,optimizado,True,28,155,73.42394926211873,0.8432260572185226,0.0271113750374801,1100101010,87.07504782611689,0.01355568751874005,1.0,3.2481151528655574,0.03730247911297831,0.49197216980964603,6.283185307179586,0.07215827569329401,1.7798316240791399,,,
10,3,1,optimizado,True,1,77,73.42394926211966,0.8432260572185334,0.027111375553019262,1100101010,87.07504782611689,0.013555687776509631,1.0000000000000013,3.2481160142481467,0.03730248900539423,2.062768376682386,6.283185307179586,0.07215827569329401,1.779831552355472,0.0,0.0,1.8440990921595864e-13
10,3,2,optimizado,True,39,329,75.86173388974439,0.8712224199933215,0.042463588694483044,1100101010,87.07504782611689,0.021231794347241522,1.0000000000000009,3.143535686919092,0.03610145231419845,2.1327025278216007,6.107891377042852,0.07014513950205133,1.8829326523851515,6.283185307179586,0.07215827569329401,0.16068436038183875
10,3,3,optimizado,True,42,364,75.86173388974608,0.8712224199933409,0.04246361749584996,1100101010,87.07504782611689,0.02123180874792498,0.9999999999999993,3.1435395933580343,0.03610149717709592,2.1327028404562807,6.1079017824580095,0.07014525900144199,1.8829328683488054,6.283185307179586,0.07215827569329401,0.16068429008488483
10,3,4,optimizado,True,53,392,75.86173388975661,0.871222419993462,0.042463598560791,1100101010,87.07504782611689,0.0212317992803955,0.9999999999999991,3.1435380226586895,0.03610147913864077,2.1327026822716824,6.1078980559396525,0.07014521620481483,1.8829327178435242,6.283185307179586,0.07215827569329401,0.16068418595078163
10,3,5,optimizado,True,36,308,75.86173388974315,0.8712224199933074,0.04246360488461289,1100101010,87.07504782611689,0.021231802442306446,0.9999999999999989,3.1435353947350007,0.03610144895865518,2.132702941056284,6.107894239183251,0.07014517237186271,1.882933062075887,6.283185307179586,0.07215827569329401,0.16068456681714335
10,3,6,optimizado,True,43,336,75.8617338897538,0.8712224199934296,0.04246360383149216,1100101010,87.07504782611689,0.02123180191574608,1.0000000000000013,3.1435378342615814,0.036101476975023146,2.1327026189046467,6.107898407098066,0.07014522023763964,1.8829327298388838,6.283185307179586,0.07215827569329401,1.7314805809608518
10,3,7,optimizado,True,27,245,73.4239492621194,0.8432260572185303,0.027111375115915343,1100101010,87.07504782611689,0.013555687557957672,0.9999999999999989,3.2481161835307666,0.03730249094949445,0.49197206219734313,6.283185307179586,0.07215827569329401,1.7798315278152288,4.663974414413734,0.05356269713025616,3.141592653589793
10,3,8,optimizado,True,23,329,73.423949262119,0.8432260572185256,0.0271113756277014,1100101010,87.07504782611689,0.0135556878138507,1.0000000000000016,3.248116626703961,0.037302496039048866,0.49197201531353363,6.283185307179586,0.07215827569329401,1.7798314990678776,5.85456819229677,0.06723588833234226,3.141592653589793
10,3,9,optimizado,True,26,238,73.42394926211901,0.8432260572185258,0.027111375020245444,1100101010,87.07504782611689,0.013555687510122722,0.999999999999998,3.2481162267364603,0.037302491445683594,2.062768341027161,6.283185307179586,0.07215827569329401,0.38163834051703466,0.0,0.0,2.968989502738416
10,3,10,optimizado,True,29,252,73.63790429344482,0.8456831908826776,0.0287428213508835,1100101010,87.07504782611689,0.01437141067544175,0.9999999999999998,3.600342495986181,0.04134757988417031,2.0714087714050478,4.574718036537294,0.052537645980669095,3.141592653589793,2.486929579832778,0.028560760422954103,0.20789785326291646
10,3,11,optimizado,True,23,217,69.11824886981327,0.7937779030146852,0.016451282222125777,1100101010,87.07504782611689,0.008225641111062889,1.0000000000000009,1.8418104601334524,0.02115198907236427,3.141592653589793,2.4511369230748725,0.028149705159124593,2.0971417226584887,0.0,0.0,3.007946326931579
10,3,12,optimizado,True,27,210,75.86173388975389,0.8712224199934308,0.042463603536409,1100101010,87.07504782611689,0.0212318017682045,1.0000000000000004,3.1435396453214155,0.03610149777386138,0.5619063140929191,6.107899745272842,0.07014523560570213,1.8829325914286401,6.283185307179586,0.07215827569329401,0.16068413717216048
12,1,1,optimizado,True,7,33,72.86035909199501,0.7809287760086714,0.005384686362399823,111001001010,93.29962133393254,0.0026923431811999117,1.0000000000000013,4.6492947907288364,0.04983187202856191,0.3926990880471894,,,,,,
12,1,2,optimizado,True,7,33,72.86035909199607,0.7809287760086828,0.005384685850079446,111001001010,93.29962133393254,0.002692342925039723,0.9999999999999991,4.649294047127717,0.04983186405852828,0.39269910211538317,,,,,,
12,1,3,optimizado,True,6,30,72.86035909199529,0.7809287760086745,0.005384684833793564,111001001010,93.29962133393254,0.002692342416896782,1.0,4.649292924483373,0.049831852025849825,0.39269905562715113,,,,,,
12,1,4,optimizado,True,6,30,72.86035909199637,0.780928776008686,0.005384685560880819,111001001010,93.29962133393254,0.0026923427804404097,1.0000000000000002,4.649293743769748,0.049831860807089914,0.3926990854865166,,,,,,
12,1,5,optimizado,True,12,42,72.86035909199612,0.7809287760086833,0.005384685806860285,111001001010,93.29962133393254,0.0026923429034301427,0.9999999999999988,4.649293971159689,0.04983186324429102,1.9634954328915342,,,,,,
12,1,6,optimizado,True,13,45,72.86035909199612,0.7809287760086833,0.005384685301165436,111001001010,93.29962133393254,0.002692342650582718,1.0000000000000009,4.649293584085697,0.04983185909557117,1.9634953735478444,,,,,,
12,2,1,optimizado,True,1,15,72.86035909199649,0.7809287760086873,0.0053846855608808315,111001001010,93.29962133393254,0.0026923427804404158,1.0000000000000018,4.649293743769748,0.049831860807089914,0.39269907558900835,0.0,0.0,9.89750827471068e-09,,,
12,2,2,optimizado,True,29,160,77.06269077982017,0.825970027276898,0.009035509305383157,111001001010,93.29962133393254,0.004517754652691578,1.0000000000000007,3.3432876398837896,0.03583388219598025,0.47199016122106596,6.283185307179586,0.06734416728822452,0.20292832428998933,,,
12,2,3,optimizado,True,29,195,77.06269077982068,0.8259700272769035,0.009035508966404513,111001001010,93.29962133393254,0.0045177544832022565,1.0000000000000002,3.3432869553918803,0.03583387485948843,0.4719901890008863,6.283185307179586,0.06734416728822452,0.20292836562135838,,,
12,2,4,optimizado,True,38,250,77.06269077982085,0.8259700272769053,0.009035508882642148,111001001010,93.29962133393254,0.004517754441321074,1.0000000000000018,3.3432868438488197,0.035833873663952374,0.4719901999808215,6.283185307179586,0.06734416728822452,0.2029283727010419,,,
12,2,5,optimizado,True,24,150,77.06269077982046,0.825970027276901,0.009035508412452136,111001001010,93.29962133393254,0.004517754206226068,1.0000000000000004,3.343286289912922,0.0358338677267804,2.042786598315931,6.283185307179586,0.06734416728822452,0.2029284101863776,,,
12,2,6,optimizado,True,15,90,72.86035909199603,0.7809287760086824,0.005384685711305993,111001001010,93.29962133393254,0.0026923428556529963,1.0000000000000004,3.264281797361903,0.03498708516303879,3.141592653589793,1.385012311242678,0.01484477955440818,0.39269905043047687,,,
