n,reinicio,seed,valor_corte,bitstring,movimientos,runtime_seconds
12,22,122048,87.521788706,100001010111,5,0.002218001000073855
12,23,122049,91.332475666,011010010010,5,0.002045308999640838
12,24,122050,87.521788706,100001010111,4,0.0019312370000079682
12,25,122051,93.299621336,100001110101,3,0.0011969219999627967
12,26,122052,93.299621336,011110001010,2,0.0008924180001486093
12,27,122053,91.332475666,100101101101,5,0.0017964670000765182
12,28,122054,93.299621336,100001110101,5,0.001951147999989189
12,29,122055,81.476864931,001111001010,5,0.0024280520001411787
12,30,122056,93.299621336,011110001010,4,0.0016113149999910092
12,31,122057,81.476864931,110000110101,4,0.0023291420002351515
12,32,122058,87.521788706,100001010111,6,0.0021124899999449553
12,33,122059,87.521788706,100001010111,3,0.0015112850001059996
12,34,122060,93.299621336,100001110101,5,0.0033859109998957138
12,35,122061,85.55464303599999,011010110000,3,0.0029102569997121464
12,36,122062,93.299621336,100001110101,5,0.0026593349998620397
12,37,122063,93.299621336,100001110101,5,0.002119220000167843
12,38,122064,87.521788706,100001010111,3,0.0011941610000576475
12,39,122065,87.521788706,100001010111,4,0.00202952900008313
12,40,122066,93.299621336,011110001010,5,0.002485452999735571
12,41,122067,87.521788706,011110101000,2,0.001396333000229788
12,42,122068,91.332475666,100101101101,3,0.0011991809997198288
12,43,122069,93.299621336,011110001010,4,0.002756644999863056
12,44,122070,91.332475666,100101101101,4,0.0024800030000733386
12,45,122071,93.299621336,100001110101,4,0.0021603210002467677
12,46,122072,87.521788706,011110101000,5,0.0022029799997653754
12,47,122073,93.299621336,011110001010,4,0.002269590999731008
12,48,122074,93.299621336,100001110101,4,0.0015656650002711103
12,49,122075,93.299621336,011110001010,2,0.0009041480002451863
12,50,122076,93.299621336,011110001010,4,0.002143400000022666
12,51,122077,93.299621336,100001110101,5,0.002718644999731623
12,52,122078,85.55464303599999,100101001111,4,0.001739295999868773
12,53,122079,93.299621336,011110001010,4,0.0018294570004400157
12,54,122080,91.332475666,011010010010,4,0.0016815459998724691
12,55,122081,87.521788706,011110101000,6,0.002826666999681038
12,56,122082,87.521788706,100001010111,3,0.0011523510002007242
12,57,122083,85.55464303599999,100101001111,3,0.0011610710002969427
12,58,122084,75.699032301,110000010111,3,0.001823927000259573
12,59,122085,93.299621336,011110001010,4,0.0020606490002137434
12,60,122086,91.332475666,011010010010,4,0.0020247690003998287
12,61,122087,91.332475666,100101101101,5,0.0020736289998239954
12,62,122088,93.299621336,100001110101,4,0.0032427400001324713
12,63,122089,93.299621336,011110001010,6,0.0024393029998464044
12,64,122090,87.521788706,011110101000,1,0.000650506000056339
12,65,122091,91.332475666,100101101101,4,0.0013410019996626943
