job_id,hugr_id,grafo,n,p,shots_configurados,registro,bitstring,frecuencia,probabilidad,costo
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00011110,1,0.001953125,8.692118423
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00110100,1,0.001953125,19.95900167
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,00110111,1,0.001953125,14.575511663
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01000111,1,0.001953125,13.244501862
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01001101,1,0.001953125,34.099904699
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01011110,1,0.001953125,19.395488641
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01100111,1,0.001953125,15.211647532
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,01101110,1,0.001953125,19.127895102
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,10100010,1,0.001953125,36.334643908000004
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,10100100,1,0.001953125,30.556811278
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,10110111,1,0.001953125,22.938582062
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,10111100,1,0.001953125,27.642525485
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,11000011,1,0.001953125,19.279455086
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,11100110,1,0.001953125,6.150986779
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,11101000,1,0.001953125,12.608365993
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,11110001,1,0.001953125,6.4573792139999995
a0ee7567-39f4-4816-a0eb-227624bdce85,4d6fafef-3c77-446b-ac6a-d2f615c120e1,G8,8,3,512,c,11110101,1,0.001953125,20.855402837
a0ee7567-39f4-4816-a0eb-227624bdce85,955711c4-afd3-490d-a366-4e51def2343f,G10,10,3,512,c,1000101110,13,0.025390625,66.526037426
a0ee7567-39f4-4816-a0eb-227624bdce85,955711c4-afd3-490d-a366-4e51def2343f,G10,10,3,512,c,1100101010,13,0.025390625,30.289217739
a0ee7567-39f4-4816-a0eb-227624bdce85,955711c4-afd3-490d-a366-4e51def2343f,G10,10,3,512,c,0011010101,12,0.0234375,30.289217739
